item,name,party,constituency
Q27063175,Chama Davies,Patriotic Front,
Q45383066,George Mwamba,Patriotic Front,Lubansenshi
Q27063131,Joyce Simukoko,Patriotic Front,
Q45383873,Rosaria Fundanga,Patriotic Front,Chilubi
Q45385011,Sitwala Morgan Sitwala,United Party for National Development,Kaoma
Q46160201,Alexander Chiteme,Patriotic Front,Nkana
Q45382079,Alfred Mandumbwa,independent politician,Mulobezi
Q45384113,Ambrose Lufuma,United Party for National Development,Kabompo
Q45382585,Anthony Kasandwe,Patriotic Front,Bangweulu
Q45382568,Anthony Malama,Patriotic Front,Nchelenge
Q45382293,Anthony Mumba,independent politician,Kantanshi
Q45384136,Attractor Chisangano,United Party for National Development,Gwembe
Q107585925,Aubrey Kapalasa,,
Q29559350,Bowman Lusambo,Patriotic Front,Kabushi
Q45382305,Boyd Hamusonde,independent politician,Nangoma
Q45384153,Brenda Tambatamba,United Party for National Development,Kasempa
Q45384169,Brian Kambita,United Party for National Development,Zambezi East
Q29559362,Brian Mundubile,Patriotic Front,Mporokoso
Q27662555,Brian Mushimba,Patriotic Front,Kankoyo
Q107585931,Bwalya Ng'andu,,
Q1051020,Catherine Namugala,Movement for Multi-Party Democracy,
Q29555800,Charles Banda,Patriotic Front,Kapoche
Q107585937,Charles Chalwe,,
Q45382685,Charles Zulu,Patriotic Front,Luangeni
Q45382701,Chilombo Chali,Patriotic Front,Nchanga (constituency)
Q45384183,Chinga Miyutu,United Party for National Development,Kalabo Central
Q23541019,Chishimba Kambwili,Patriotic Front,Roan
Q27063490,Chitalu Chilufya,Patriotic Front,Mansa Central
Q29539950,Chomba Sikazwe,Patriotic Front,Mpulungu
Q45384199,Christopher Kalila,United Party for National Development,Lukulu East
Q29543126,Christopher Yaluma,Patriotic Front,Malole
Q45384216,Chushi Kasanda,United Party for National Development,Chisamba
Q45384236,Clive Miyanda,United Party for National Development,Mapatizya
Q45384254,Cornelius Mweetwa,United Party for National Development,Choma
Q45384270,Credo Nanjuwa,United Party for National Development,Mumbwa
Q45382790,Darious Mumba,Patriotic Front,Chama North
Q45384285,Darius Mulunda,United Party for National Development,Siavonga
Q45384298,David Kundoti,United Party for National Development,Luena
Q29556814,David Mabumba,Patriotic Front,Mwense
Q45382825,Davies Chisopa,Patriotic Front,Mkushi South
Q45382843,Davison Mung`andu,Patriotic Front,Chama South
Q29555804,Dennis Wanchinga,Patriotic Front,Mambilima
Q45384315,Derick Livune,United Party for National Development,Katombola
Q1243653,Dora Siliya,Patriotic Front,Petauke Central
Q45382898,Doreen Mwape,Patriotic Front,Mkushi North
Q45384330,Douglas Syakalima,United Party for National Development,Chirundu
Q45384351,Edgar Sing’ombe,United Party for National Development,Dundumwenzi
Q29559341,Edify Hamukale,Patriotic Front,
Q45382933,Elalio Musonda,Patriotic Front,Kamfinsa
Q45382319,Elias Mwila,independent politician,Chimwemwe
Q45384371,Elija Muchima,United Party for National Development,Ikeleng'i
Q45382951,Elizabeth Phiri,Patriotic Front,Kanyama
Q45384388,Elliot Kamondo,United Party for National Development,Mufumbwe
Q29539929,Emerine Kabanshi,Patriotic Front,Luapula
Q45382977,Emmanuel Mulenga,Patriotic Front,Ndola Central
Q45384403,Emmerson Machila,United Party for National Development,Magoye
Q45384419,Ephraim Belemu,United Party for National Development,Mbabala
Q45382994,Evans Chibanda,Patriotic Front,Mufulira
Q1403691,Felix Mutati,Patriotic Front,
Q45384435,Frank Kufakwandi,United Party for National Development,Sesheke
Q45383042,Frank Ng'ambi,Patriotic Front,Chifubu
Q45384454,Fred Chaatila,United Party for National Development,Moomba
Q107585938,Fube Mulenga,,
Q45384471,Gary Nkombo,United Party for National Development,Mazabuka Central
Q1503022,Geoffrey Lungwangwa,United Party for National Development,Nalikwanda
Q107585940,George Chisanga,,
Q45382336,George Imbuwa,independent politician,Nalolo
Q45383084,Gerald Zimba,Patriotic Front,Chasefu
Q45383101,Gift Chiyalika,Patriotic Front,Lufubu
Q45384504,Gift Sialubalo,United Party for National Development,Sinazongwe
Q45381116,Given Katuta,Forum for Democracy and Development,Chiengi
Q5565823,Given Lubinda,Patriotic Front,Kabwata
Q27063686,Godfridah Sumaili,Patriotic Front,
Q107585942,Goodwin Putu,,
Q19560917,Harry Kalaba,Patriotic Front,Bahati
Q45384522,Harry Kamboni,United Party for National Development,Kalomo Central
Q45383152,Hastings Chansa,Patriotic Front,Chimbamilonga
Q45384543,Herbert Shabula,United Party for National Development,Itezhi-Tezhi
Q45382514,Howard Kunda,Movement for Multi-Party Democracy,Muchinga
Q18908010,Inonge Wina,Patriotic Front,
Q45384555,Jacob Mwiimbu,United Party for National Development,Monze
Q45383183,Jacob Siwale,Patriotic Front,Mafinga
Q29559369,Japhen Mwakalombe,Patriotic Front,Chongwe
Q27947831,Jean Kapata,Patriotic Front,Mandevu
Q45382351,Jewis Chabi,independent politician,Chipili
Q45383255,Jonas Chanda,Patriotic Front,Bwana Mkubwa
Q107585944,Joseph Chishala,,
Q45383276,Joseph Kabamba,Patriotic Front,Kafulafuta
Q45383291,Joseph Malanji,Patriotic Front,Kwacha
Q107585956,Kabaso Kampampi,,
Q45384572,Kabwe Mwiinga,United Party for National Development,Chikankata
Q45383326,Kalalwe Mukosa,Patriotic Front,Chinsali
Q29539935,Kampamba Chilumba,Patriotic Front,Kalulushi
Q45384592,Kapelwa Mbangweta,United Party for National Development,Nkeyema
Q45383361,Kapembwa Simbao,Patriotic Front,Senga Hill
Q45384604,Kasautu Michelo,United Party for National Development,Bweengwa
Q45384622,Keith Mukata,United Party for National Development,Chilanga
Q45383375,Kelvin Sampa,Patriotic Front,Kasama
Q45382371,Lawrence Nyirenda,independent politician,Lundazi
Q29556823,Lawrence Sichalwe,Patriotic Front,Chawama
Q45383410,Lazarous Chungu,Patriotic Front,Lupososhi
Q45384638,Leaky Kintu,United Party for National Development,Solwezi East
Q45384661,Leonard Fungulwe,United Party for National Development,Lufwanyama
Q45383430,Listed Tembo,Patriotic Front,Kaumbwe
Q29539945,Lloyd Kaziya,Patriotic Front,Matero
Q29539966,Lucky Mulusa,Patriotic Front,
Q45382390,Machila Jamba,independent politician,Mwembeshi
Q29559372,Makebi Zulu,Patriotic Front,Malambo
Q45384683,Makozo Chikote,United Party for National Development,Luampa
Q45383509,Margaret Miti,Patriotic Front,Vubwi
Q6759764,Margaret Mwanakatwe,Patriotic Front,Lusaka Central
Q56071389,Maria Langa,Patriotic Front,Chilanga
Q45383524,Martin Malama,Patriotic Front,Kanchibiya
Q45382405,Masautso Tembo,independent politician,Sinda
Q45384702,Mathews Jere,United Party for National Development,Livingstone
Q29539961,Matthew Nkhuwa,Patriotic Front,Chingola
Q45383553,Maxas Ng’onga,Patriotic Front,Kaputa
Q45382535,Maxwell Kabanda,Movement for Multi-Party Democracy,Serenje
Q45382421,Mbololwa Subulwa,independent politician,Sioma
Q27517522,Micheal Katambo,Patriotic Front,Masaiti
Q45384719,Mirriam Chonya,United Party for National Development,Kafue
Q45384734,Misheck Mutelo,United Party for National Development,Mitete
Q45384753,Moono Lubezhi,United Party for National Development,Namwala
Q29555797,Moses Mawere,Patriotic Front,Chipata Central
Q45384771,Mubika Mubika,United Party for National Development,Shang’ombo
Q45384786,Mukumbuta Mulowa,United Party for National Development,Senanga
Q56229456,Mumbi Phiri,Patriotic Front,
Q45384803,Mundia Ndalamei,United Party for National Development,Sikongo
Q45384819,Mutinta Mazoka,United Party for National Development,Pemba
Q45383604,Mutotwe Kafwaya,Patriotic Front,Lunte
Q45383622,Mwalimu Simfukwe,Patriotic Front,Mbala
Q45383644,Mwansa Mbulakulima,Patriotic Front,Milenge
Q45382440,Mwenya Munkonge,independent politician,Lukashya
Q45384835,Mwilola Imakando,United Party for National Development,Mongu Central
Q45383658,Mwimba Malama,Patriotic Front,Mfuwe
Q45384849,Naluwa Mwene,United Party for National Development,Mangango
Q29559355,Nathaniel Mubukwanu,Patriotic Front,
Q45384868,Newton Samakayi,United Party for National Development,Mwinilunga
Q29557220,Nickson Chilangwa,Patriotic Front,Kawambwa
Q27891778,Nkandu Luo,Patriotic Front,Munali
Q45383726,Olipa Phiri,Patriotic Front,Nyimba
Q45384885,Patricia Mwashingwele,United Party for National Development,Katuba
Q22006727,Patrick Matibini,,
Q45382456,Pavyuma Kalobo,independent politician,Wusakile (constituency)
Q2074457,Peter Daka,Patriotic Front,Msanzala
Q45382549,Peter Phiri,Movement for Multi-Party Democracy,Mkaika (constituency)
Q45382477,Pilila Jere,independent politician,Lumezi
Q45383765,Ponde Mecha,Patriotic Front,Chifunabuli
Q45384901,Princess Kasune,United Party for National Development,Keembe
Q45384919,Prisca Kucheka,United Party for National Development,Zambezi West
Q107585962,Raphael Nakacinda,,
Q45384934,Rasfold Bulaya,United Party for National Development,Mpongwe
Q45383783,Remember Mutale,Patriotic Front,Chitambo
Q29559347,Richard Kapita,Patriotic Front,
Q45383817,Richard Musukwa,Patriotic Front,Chililabombwe
Q45384953,Robert Lihefu,United Party for National Development,Manyinga
Q45383834,Rodgers Mwewa,Patriotic Front,Mwansabombwe
Q107585969,Romeo Kang'ombe,,
Q29539957,Ronald Chitotela,Patriotic Front,Pambashe
Q45383897,Salatiel Tembo,Patriotic Front,Chadiza
Q45383910,Sebastian Kopulande,Patriotic Front,Chembe
Q60854009,Sensio Banda,Patriotic Front,Kasenengwa
Q45384968,Sheal Mulyata,United Party for National Development,Rufunsa
Q29559352,Sichone Malozo,Patriotic Front,Isoka
Q45384980,Sililo Mutaba,United Party for National Development,Mwandi
Q7532178,Situmbeko Musokotwane,United Party for National Development,Liuwa
Q45385024,Stafford Mulusa,United Party for National Development,Solwezi Central
Q45385044,Stanley Kakubo,United Party for National Development,Kapiri Mposhi
Q45383949,Stephen Chungu,Patriotic Front,Luanshya
Q27063683,Stephen Kampyongo,Patriotic Front,Shiwa Ng'andu
Q45382496,Stephen Miti,independent politician,Feira
Q29559364,Sydney Mushanga,Patriotic Front,Bwacha (constituency)
Q29539941,Sylvia Chalikosa,Patriotic Front,Mpika Central
Q45385060,Teddy Kasonso,United Party for National Development,Solwezi West
Q45384022,Tutwa Ngulube,Patriotic Front,Kabwe Central
Q45385077,Victor Lumayi,United Party for National Development,Chavuma
Q27899009,Victoria Kalima,Patriotic Front,Kasenengwa
Q29555795,Vincent Mwale,Patriotic Front,Chipangali
Q45384082,Whiteson Banda,Patriotic Front,Milanzi
Q45384099,Yizukanji Siwanzi,Patriotic Front,Nakonde
